ID	Gene Name	Species	GOTERM_BP_DIRECT
AQP2	aquaporin 2(AQP2)	Homo sapiens	GO:0003091~renal water homeostasis,GO:0003097~renal water transport,GO:0006833~water transport,GO:0007588~excretion,GO:0009992~cellular water homeostasis,GO:0015793~glycerol transport,GO:0034220~ion transmembrane transport,GO:0042631~cellular response to water deprivation,GO:0071280~cellular response to copper ion,GO:0071288~cellular response to mercury ion,GO:0072205~metanephric collecting duct development,
AQP5	aquaporin 5(AQP5)	Homo sapiens	GO:0006833~water transport,GO:0007588~excretion,GO:0009992~cellular water homeostasis,GO:0015670~carbon dioxide transport,GO:0015793~glycerol transport,GO:0030157~pancreatic juice secretion,GO:0034220~ion transmembrane transport,GO:0042476~odontogenesis,GO:0046541~saliva secretion,GO:0048593~camera-type eye morphogenesis,
AQP6	aquaporin 6(AQP6)	Homo sapiens	GO:0006810~transport,GO:0006833~water transport,GO:0007588~excretion,GO:0009992~cellular water homeostasis,GO:0015706~nitrate transport,GO:0015793~glycerol transport,GO:0042476~odontogenesis,GO:0098656~anion transmembrane transport,
AVPR2	arginine vasopressin receptor 2(AVPR2)	Homo sapiens	GO:0001992~regulation of systemic arterial blood pressure by vasopressin,GO:0003084~positive regulation of systemic arterial blood pressure,GO:0003091~renal water homeostasis,GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway,GO:0007190~activation of adenylate cyclase activity,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007588~excretion,GO:0007599~hemostasis,GO:0008284~positive regulation of cell proliferation,GO:0010628~positive regulation of gene expression,GO:0021537~telencephalon development,GO:0031398~positive regulation of protein ubiquitination,GO:0032609~interferon-gamma production,GO:0032870~cellular response to hormone stimulus,GO:0034097~response to cytokine,GO:0035811~negative regulation of urine volume,GO:0035814~negative regulation of renal sodium excretion,GO:0045907~positive regulation of vasoconstriction,GO:1901652~response to peptide,
ARMC4	armadillo repeat containing 4(ARMC4)	Homo sapiens	GO:0003341~cilium movement,GO:0003356~regulation of cilium beat frequency,GO:0007368~determination of left/right symmetry,GO:0007507~heart development,GO:0021591~ventricular system development,GO:0036158~outer dynein arm assembly,
ARSI	arylsulfatase family member I(ARSI)	Homo sapiens	GO:0006687~glycosphingolipid metabolic process,GO:0008152~metabolic process,GO:0043687~post-translational protein modification,
ASTN1	astrotactin 1(ASTN1)	Homo sapiens	GO:0001764~neuron migration,GO:0007158~neuron cell-cell adhesion,GO:0007626~locomotory behavior,
B4GALNT2	beta-1,4-N-acetyl-galactosaminyltransferase 2(B4GALNT2)	Homo sapiens	GO:0006047~UDP-N-acetylglucosamine metabolic process,GO:0006486~protein glycosylation,GO:0019276~UDP-N-acetylgalactosamine metabolic process,GO:0022408~negative regulation of cell-cell adhesion,GO:0030259~lipid glycosylation,
BMP7	bone morphogenetic protein 7(BMP7)	Homo sapiens	GO:0001501~skeletal system development,GO:0001503~ossification,GO:0001656~metanephros development,GO:0001657~ureteric bud development,GO:0001707~mesoderm formation,GO:0001823~mesonephros development,GO:0001837~epithelial to mesenchymal transition,GO:0003272~endocardial cushion formation,GO:0003344~pericardium morphogenesis,GO:0007411~axon guidance,GO:0008285~negative regulation of cell proliferation,GO:0009880~embryonic pattern specification,GO:0010664~negative regulation of striated muscle cell apoptotic process,GO:0010800~positive regulation of peptidyl-threonine phosphorylation,GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0016358~dendrite development,GO:0021502~neural fold elevation formation,GO:0030326~embryonic limb morphogenesis,GO:0030501~positive regulation of bone mineralization,GO:0030509~BMP signaling pathway,GO:0030855~epithelial cell differentiation,GO:0030902~hindbrain development,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0032355~response to estradiol,GO:0033280~response to vitamin D,GO:0034116~positive regulation of heterotypic cell-cell adhesion,GO:0034504~protein localization to nucleus,GO:0040007~growth,GO:0042325~regulation of phosphorylation,GO:0042326~negative regulation of phosphorylation,GO:0042347~negative regulation of NF-kappaB import into nucleus,GO:0042475~odontogenesis of dentin-containing tooth,GO:0042981~regulation of apoptotic process,GO:0043065~positive regulation of apoptotic process,GO:0043401~steroid hormone mediated signaling pathway,GO:0043407~negative regulation of MAP kinase activity,GO:0043434~response to peptide hormone,GO:0045665~negative regulation of neuron differentiation,GO:0045666~positive regulation of neuron differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045746~negative regulation of Notch signaling pathway,GO:0045786~negative regulation of cell cycle,GO:0045839~negative regulation of mitotic nuclear division,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048596~embryonic camera-type eye morphogenesis,GO:0048738~cardiac muscle tissue development,GO:0048754~branching morphogenesis of an epithelial tube,GO:0048762~mesenchymal cell differentiation,GO:0048812~neuron projection morphogenesis,GO:0051216~cartilage development,GO:0060037~pharyngeal system development,GO:0060272~embryonic skeletal joint morphogenesis,GO:0060393~regulation of pathway-restricted SMAD protein phosphorylation,GO:0060395~SMAD protein signal transduction,GO:0060411~cardiac septum morphogenesis,GO:0060445~branching involved in salivary gland morphogenesis,GO:0060485~mesenchyme development,GO:0060548~negative regulation of cell death,GO:0060686~negative regulation of prostatic bud formation,GO:0060687~regulation of branching involved in prostate gland morphogenesis,GO:0060710~chorio-allantoic fusion,GO:0061384~heart trabecula morphogenesis,GO:0070487~monocyte aggregation,GO:0071456~cellular response to hypoxia,GO:0071773~cellular response to BMP stimulus,GO:0072040~negative regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis,GO:0072125~negative regulation of glomerular mesangial cell proliferation,GO:0072133~metanephric mesenchyme morphogenesis,GO:0072134~nephrogenic mesenchyme morphogenesis,GO:0072136~metanephric mesenchymal cell proliferation involved in metanephros development,GO:1900006~positive regulation of dendrite development,GO:1900106~positive regulation of hyaluranon cable assembly,GO:1905069~allantois development,GO:2000121~regulation of removal of superoxide radicals,
BMPR1B	bone morphogenetic protein receptor type 1B(BMPR1B)	Homo sapiens	GO:0001501~skeletal system development,GO:0001502~cartilage condensation,GO:0001550~ovarian cumulus expansion,GO:0001654~eye development,GO:0002063~chondrocyte development,GO:0006468~protein phosphorylation,GO:0006954~inflammatory response,GO:0009953~dorsal/ventral pattern formation,GO:0023014~signal transduction by protein phosphorylation,GO:0030166~proteoglycan biosynthetic process,GO:0030501~positive regulation of bone mineralization,GO:0030509~BMP signaling pathway,GO:0031290~retinal ganglion cell axon guidance,GO:0032332~positive regulation of chondrocyte differentiation,GO:0035108~limb morphogenesis,GO:0042698~ovulation cycle,GO:0045597~positive regulation of cell differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0060041~retina development in camera-type eye,GO:0060350~endochondral bone morphogenesis,GO:0061036~positive regulation of cartilage development,GO:0071773~cellular response to BMP stimulus,GO:1902043~positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1902731~negative regulation of chondrocyte proliferation,
BCHE	butyrylcholinesterase(BCHE)	Homo sapiens	GO:0007612~learning,GO:0008285~negative regulation of cell proliferation,GO:0014016~neuroblast differentiation,GO:0019695~choline metabolic process,GO:0042493~response to drug,GO:0043279~response to alkaloid,GO:0050783~cocaine metabolic process,GO:0050805~negative regulation of synaptic transmission,GO:0051384~response to glucocorticoid,GO:0051593~response to folic acid,
CDH19	cadherin 19(CDH19)	Homo sapiens	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,
CDH3	cadherin 3(CDH3)	Homo sapiens	GO:0001895~retina homeostasis,GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007601~visual perception,GO:0010628~positive regulation of gene expression,GO:0010838~positive regulation of keratinocyte proliferation,GO:0016337~single organismal cell-cell adhesion,GO:0022405~hair cycle process,GO:0031424~keratinization,GO:0032773~positive regulation of monophenol monooxygenase activity,GO:0032912~negative regulation of transforming growth factor beta2 production,GO:0034332~adherens junction organization,GO:0042060~wound healing,GO:0042493~response to drug,GO:0043568~positive regulation of insulin-like growth factor receptor signaling pathway,GO:0048023~positive regulation of melanin biosynthetic process,GO:0051796~negative regulation of catagen,GO:0060070~canonical Wnt signaling pathway,GO:0060901~regulation of hair cycle by canonical Wnt signaling pathway,GO:1902910~positive regulation of melanosome transport,
CALB1	calbindin 1(CALB1)	Homo sapiens	GO:0007614~short-term memory,GO:0007616~long-term memory,GO:0007626~locomotory behavior,GO:0010842~retina layer formation,GO:0035502~metanephric part of ureteric bud development,GO:0048167~regulation of synaptic plasticity,GO:0051480~regulation of cytosolic calcium ion concentration,GO:0055074~calcium ion homeostasis,GO:0071310~cellular response to organic substance,GO:0072205~metanephric collecting duct development,GO:0072221~metanephric distal convoluted tubule development,GO:0072286~metanephric connecting tubule development,
CHP2	calcineurin like EF-hand protein 2(CHP2)	Homo sapiens	GO:0008284~positive regulation of cell proliferation,GO:0010922~positive regulation of phosphatase activity,GO:0015031~protein transport,GO:0042307~positive regulation of protein import into nucleus,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0070886~positive regulation of calcineurin-NFAT signaling cascade,GO:0071277~cellular response to calcium ion,
CALCA	calcitonin related polypeptide alpha(CALCA)	Homo sapiens	GO:0001878~response to yeast,GO:0001935~endothelial cell proliferation,GO:0001944~vasculature development,GO:0001976~neurological system process involved in regulation of systemic arterial blood pressure,GO:0001984~vasodilation of artery involved in baroreceptor response to increased systemic arterial blood pressure,GO:0002027~regulation of heart rate,GO:0002031~G-protein coupled receptor internalization,GO:0002548~monocyte chemotaxis,GO:0006468~protein phosphorylation,GO:0006954~inflammatory response,GO:0007159~leukocyte cell-cell adhesion,GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0007190~activation of adenylate cyclase activity,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007218~neuropeptide signaling pathway,GO:0007267~cell-cell signaling,GO:0007566~embryo implantation,GO:0007568~aging,GO:0007631~feeding behavior,GO:0008217~regulation of blood pressure,GO:0009408~response to heat,GO:0010523~negative regulation of calcium ion transport into cytosol,GO:0019731~antibacterial humoral response,GO:0019732~antifungal humoral response,GO:0030279~negative regulation of ossification,GO:0030819~positive regulation of cAMP biosynthetic process,GO:0031623~receptor internalization,GO:0031645~negative regulation of neurological system process,GO:0032147~activation of protein kinase activity,GO:0032730~positive regulation of interleukin-1 alpha production,GO:0032757~positive regulation of interleukin-8 production,GO:0043542~endothelial cell migration,GO:0044267~cellular protein metabolic process,GO:0045087~innate immune response,GO:0045651~positive regulation of macrophage differentiation,GO:0045671~negative regulation of osteoclast differentiation,GO:0045762~positive regulation of adenylate cyclase activity,GO:0045776~negative regulation of blood pressure,GO:0045778~positive regulation of ossification,GO:0045779~negative regulation of bone resorption,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045909~positive regulation of vasodilation,GO:0045986~negative regulation of smooth muscle contraction,GO:0048265~response to pain,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0050965~detection of temperature stimulus involved in sensory perception of pain,GO:0051480~regulation of cytosolic calcium ion concentration,GO:0051482~positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway,GO:0071356~cellular response to tumor necrosis factor,GO:1990090~cellular response to nerve growth factor stimulus,
CASR	calcium sensing receptor(CASR)	Homo sapiens	GO:0001503~ossification,GO:0005513~detection of calcium ion,GO:0006874~cellular calcium ion homeostasis,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007635~chemosensory behavior,GO:0009653~anatomical structure morphogenesis,GO:0070509~calcium ion import,
CACNA1S	calcium voltage-gated channel subunit alpha1 S(CACNA1S)	Homo sapiens	GO:0006816~calcium ion transport,GO:0006936~muscle contraction,GO:0034765~regulation of ion transmembrane transport,GO:0061337~cardiac conduction,GO:0070588~calcium ion transmembrane transport,GO:0086010~membrane depolarization during action potential,
CAMK2A	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)	Homo sapiens	GO:0000082~G1/S transition of mitotic cell cycle,GO:0000165~MAPK cascade,GO:0002931~response to ischemia,GO:0006468~protein phosphorylation,GO:0006816~calcium ion transport,GO:0007223~Wnt signaling pathway, calcium modulating pathway,GO:0010666~positive regulation of cardiac muscle cell apoptotic process,GO:0018105~peptidyl-serine phosphorylation,GO:0038166~angiotensin-activated signaling pathway,GO:0043547~positive regulation of GTPase activity,GO:0046777~protein autophosphorylation,GO:0046928~regulation of neurotransmitter secretion,GO:0048168~regulation of neuronal synaptic plasticity,GO:0048813~dendrite morphogenesis,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051928~positive regulation of calcium ion transport,GO:0060333~interferon-gamma-mediated signaling pathway,GO:1900034~regulation of cellular response to heat,GO:1902108~regulation of mitochondrial membrane permeability involved in apoptotic process,
CLSTN2	calsyntenin 2(CLSTN2)	Homo sapiens	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0050806~positive regulation of synaptic transmission,GO:0051965~positive regulation of synapse assembly,
CAPZA3	capping actin protein of muscle Z-line alpha subunit 3(CAPZA3)	Homo sapiens	GO:0007286~spermatid development,GO:0051016~barbed-end actin filament capping,
CA1	carbonic anhydrase 1(CA1)	Homo sapiens	GO:0006730~one-carbon metabolic process,GO:0015701~bicarbonate transport,
CA10	carbonic anhydrase 10(CA10)	Homo sapiens	GO:0007420~brain development,
CA8	carbonic anhydrase 8(CA8)	Homo sapiens	GO:0006730~one-carbon metabolic process,GO:0048015~phosphatidylinositol-mediated signaling,
CPA1	carboxypeptidase A1(CPA1)	Homo sapiens	GO:0006508~proteolysis,
CASP14	caspase 14(CASP14)	Homo sapiens	GO:0006508~proteolysis,GO:0006915~apoptotic process,GO:0008544~epidermis development,GO:0031424~keratinization,GO:0070268~cornification,
CHL1	cell adhesion molecule L1 like(CHL1)	Homo sapiens	GO:0001764~neuron migration,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0007411~axon guidance,GO:0008344~adult locomotory behavior,GO:0031103~axon regeneration,GO:0035640~exploration behavior,GO:0043524~negative regulation of neuron apoptotic process,GO:0050890~cognition,
CEND1	cell cycle exit and neuronal differentiation 1(CEND1)	Homo sapiens	GO:0007628~adult walking behavior,GO:0021686~cerebellar granular layer maturation,GO:0021702~cerebellar Purkinje cell differentiation,GO:0021933~radial glia guided migration of cerebellar granule cell,GO:0021941~negative regulation of cerebellar granule cell precursor proliferation,
CIDEA	cell death-inducing DFFA-like effector a(CIDEA)	Homo sapiens	GO:0001659~temperature homeostasis,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006629~lipid metabolic process,GO:0006915~apoptotic process,GO:0008219~cell death,GO:0010890~positive regulation of sequestering of triglyceride,GO:0019915~lipid storage,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0032720~negative regulation of tumor necrosis factor production,GO:0035634~response to stilbenoid,GO:0042981~regulation of apoptotic process,GO:0050710~negative regulation of cytokine secretion,GO:0050995~negative regulation of lipid catabolic process,GO:1900118~negative regulation of execution phase of apoptosis,GO:1902510~regulation of apoptotic DNA fragmentation,
CRABP1	cellular retinoic acid binding protein 1(CRABP1)	Homo sapiens	GO:0006810~transport,GO:0007165~signal transduction,GO:0007275~multicellular organism development,GO:0034653~retinoic acid catabolic process,
CBLN2	cerebellin 2 precursor(CBLN2)	Homo sapiens	GO:0051965~positive regulation of synapse assembly,
CLIC5	chloride intracellular channel 5(CLIC5)	Homo sapiens	GO:0002024~diet induced thermogenesis,GO:0006749~glutathione metabolic process,GO:0006810~transport,GO:0006821~chloride transport,GO:0007565~female pregnancy,GO:0007605~sensory perception of sound,GO:0008104~protein localization,GO:0034765~regulation of ion transmembrane transport,GO:0050885~neuromuscular process controlling balance,GO:0060088~auditory receptor cell stereocilium organization,GO:1902476~chloride transmembrane transport,
CLCNKA	chloride voltage-gated channel Ka(CLCNKA)	Homo sapiens	GO:0006810~transport,GO:0007588~excretion,GO:0034220~ion transmembrane transport,GO:1902476~chloride transmembrane transport,GO:1903959~regulation of anion transmembrane transport,
CHRNA1	cholinergic receptor nicotinic alpha 1 subunit(CHRNA1)	Homo sapiens	GO:0003009~skeletal muscle contraction,GO:0006810~transport,GO:0007165~signal transduction,GO:0007271~synaptic transmission, cholinergic,GO:0007274~neuromuscular synaptic transmission,GO:0007528~neuromuscular junction development,GO:0019228~neuronal action potential,GO:0035094~response to nicotine,GO:0042391~regulation of membrane potential,GO:0046716~muscle cell cellular homeostasis,GO:0048630~skeletal muscle tissue growth,GO:0050881~musculoskeletal movement,GO:0050905~neuromuscular process,GO:0070050~neuron cellular homeostasis,GO:0098655~cation transmembrane transport,
CHRNA4	cholinergic receptor nicotinic alpha 4 subunit(CHRNA4)	Homo sapiens	GO:0001508~action potential,GO:0001666~response to hypoxia,GO:0006281~DNA repair,GO:0006811~ion transport,GO:0006816~calcium ion transport,GO:0006979~response to oxidative stress,GO:0007165~signal transduction,GO:0007268~chemical synaptic transmission,GO:0007271~synaptic transmission, cholinergic,GO:0007274~neuromuscular synaptic transmission,GO:0007585~respiratory gaseous exchange,GO:0007626~locomotory behavior,GO:0014059~regulation of dopamine secretion,GO:0019233~sensory perception of pain,GO:0035094~response to nicotine,GO:0035095~behavioral response to nicotine,GO:0035640~exploration behavior,GO:0042113~B cell activation,GO:0042391~regulation of membrane potential,GO:0050877~neurological system process,GO:0050890~cognition,GO:0051899~membrane depolarization,GO:0060080~inhibitory postsynaptic potential,GO:0095500~acetylcholine receptor signaling pathway,GO:0098655~cation transmembrane transport,
CHRDL1	chordin like 1(CHRDL1)	Homo sapiens	GO:0001503~ossification,GO:0001654~eye development,GO:0007399~nervous system development,GO:0030154~cell differentiation,GO:0030509~BMP signaling pathway,GO:0030514~negative regulation of BMP signaling pathway,GO:0048749~compound eye development,
CHD5	chromodomain helicase DNA binding protein 5(CHD5)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0008285~negative regulation of cell proliferation,GO:0021895~cerebral cortex neuron differentiation,GO:0035093~spermatogenesis, exchange of chromosomal proteins,GO:0043967~histone H4 acetylation,GO:0060850~regulation of transcription involved in cell fate commitment,GO:0098532~histone H3-K27 trimethylation,GO:1901798~positive regulation of signal transduction by p53 class mediator,
C16orf89	chromosome 16 open reading frame 89(C16orf89)	Homo sapiens	GO:0048741~skeletal muscle fiber development,
CLDN14	claudin 14(CLDN14)	Homo sapiens	GO:0006461~protein complex assembly,GO:0016338~calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,
CLDN16	claudin 16(CLDN16)	Homo sapiens	GO:0006811~ion transport,GO:0006875~cellular metal ion homeostasis,GO:0007588~excretion,GO:0016338~calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,GO:1903830~magnesium ion transmembrane transport,
CLDN19	claudin 19(CLDN19)	Homo sapiens	GO:0007601~visual perception,GO:0016338~calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,GO:0019227~neuronal action potential propagation,GO:0043297~apical junction assembly,GO:0050896~response to stimulus,
CLDN8	claudin 8(CLDN8)	Homo sapiens	GO:0016338~calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,
F11	coagulation factor XI(F11)	Homo sapiens	GO:0006508~proteolysis,GO:0007596~blood coagulation,GO:0007597~blood coagulation, intrinsic pathway,GO:0031639~plasminogen activation,GO:0051919~positive regulation of fibrinolysis,
CCDC187	coiled-coil domain containing 187(CCDC187)	Homo sapiens	GO:0034453~microtubule anchoring,
CCBE1	collagen and calcium binding EGF domains 1(CCBE1)	Homo sapiens	GO:0001946~lymphangiogenesis,GO:0002040~sprouting angiogenesis,GO:0003016~respiratory system process,GO:0010575~positive regulation of vascular endothelial growth factor production,GO:0010595~positive regulation of endothelial cell migration,GO:0010954~positive regulation of protein processing,GO:0030324~lung development,GO:0045766~positive regulation of angiogenesis,GO:0048845~venous blood vessel morphogenesis,GO:1900748~positive regulation of vascular endothelial growth factor signaling pathway,GO:1901492~positive regulation of lymphangiogenesis,
COL4A6	collagen type IV alpha 6 chain(COL4A6)	Homo sapiens	GO:0007155~cell adhesion,GO:0030198~extracellular matrix organization,GO:0030574~collagen catabolic process,GO:0071230~cellular response to amino acid stimulus,
COL26A1	collagen type XXVI alpha 1 chain(COL26A1)	Homo sapiens	GO:0010811~positive regulation of cell-substrate adhesion,GO:0030574~collagen catabolic process,
CR2	complement C3d receptor 2(CR2)	Homo sapiens	GO:0002430~complement receptor mediated signaling pathway,GO:0006955~immune response,GO:0006958~complement activation, classical pathway,GO:0030183~B cell differentiation,GO:0042100~B cell proliferation,GO:0045087~innate immune response,GO:0046718~viral entry into host cell,
C7	complement C7(C7)	Homo sapiens	GO:0006955~immune response,GO:0006956~complement activation,GO:0006957~complement activation, alternative pathway,GO:0006958~complement activation, classical pathway,GO:0019835~cytolysis,GO:0030449~regulation of complement activation,
C4BPB	complement component 4 binding protein beta(C4BPB)	Homo sapiens	GO:0006958~complement activation, classical pathway,GO:0007596~blood coagulation,GO:0030449~regulation of complement activation,GO:0045087~innate immune response,GO:0045732~positive regulation of protein catabolic process,GO:0045959~negative regulation of complement activation, classical pathway,GO:1903027~regulation of opsonization,
CNTN1	contactin 1(CNTN1)	Homo sapiens	GO:0007155~cell adhesion,GO:0007219~Notch signaling pathway,GO:0010628~positive regulation of gene expression,GO:0010765~positive regulation of sodium ion transport,GO:0010976~positive regulation of neuron projection development,GO:0021549~cerebellum development,GO:0031175~neuron projection development,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,
CNTN5	contactin 5(CNTN5)	Homo sapiens	GO:0007155~cell adhesion,GO:0007605~sensory perception of sound,
CNTNAP4	contactin associated protein like 4(CNTNAP4)	Homo sapiens	GO:0007155~cell adhesion,GO:0032225~regulation of synaptic transmission, dopaminergic,GO:0032228~regulation of synaptic transmission, GABAergic,GO:2000821~regulation of grooming behavior,
CPNE6	copine 6(CPNE6)	Homo sapiens	GO:0006629~lipid metabolic process,GO:0007268~chemical synaptic transmission,GO:0007399~nervous system development,GO:0016192~vesicle-mediated transport,GO:0046474~glycerophospholipid biosynthetic process,GO:0071277~cellular response to calcium ion,GO:1903861~positive regulation of dendrite extension,
CRHBP	corticotropin releasing hormone binding protein(CRHBP)	Homo sapiens	GO:0001963~synaptic transmission, dopaminergic,GO:0002125~maternal aggressive behavior,GO:0006954~inflammatory response,GO:0007165~signal transduction,GO:0007565~female pregnancy,GO:0007611~learning or memory,GO:0009755~hormone-mediated signaling pathway,GO:0033554~cellular response to stress,GO:0035690~cellular response to drug,GO:0035865~cellular response to potassium ion,GO:0042445~hormone metabolic process,GO:0045055~regulated exocytosis,GO:0048149~behavioral response to ethanol,GO:0051459~regulation of corticotropin secretion,GO:0051460~negative regulation of corticotropin secretion,GO:0071277~cellular response to calcium ion,GO:0071314~cellular response to cocaine,GO:0071320~cellular response to cAMP,GO:0071356~cellular response to tumor necrosis factor,GO:0071391~cellular response to estrogen stimulus,GO:0071392~cellular response to estradiol stimulus,GO:0097211~cellular response to gonadotropin-releasing hormone,GO:1900011~negative regulation of corticotropin-releasing hormone receptor activity,GO:2000310~regulation of N-methyl-D-aspartate selective glutamate receptor activity,
CRB2	crumbs 2, cell polarity complex component(CRB2)	Homo sapiens	GO:0001707~mesoderm formation,GO:0001756~somitogenesis,GO:0010718~positive regulation of epithelial to mesenchymal transition,GO:0010951~negative regulation of endopeptidase activity,GO:0014028~notochord formation,GO:0030513~positive regulation of BMP signaling pathway,GO:0045199~maintenance of epithelial cell apical/basal polarity,GO:0060042~retina morphogenesis in camera-type eye,GO:0072358~cardiovascular system development,
CRYAA	crystallin alpha A(CRYAA)	Homo sapiens	GO:0007601~visual perception,GO:0032387~negative regulation of intracellular transport,GO:0042026~protein refolding,GO:0043066~negative regulation of apoptotic process,GO:0050896~response to stimulus,GO:0051260~protein homooligomerization,
CST1	cystatin SN(CST1)	Homo sapiens	GO:0001580~detection of chemical stimulus involved in sensory perception of bitter taste,GO:2000117~negative regulation of cysteine-type endopeptidase activity,
CYP1A1	cytochrome P450 family 1 subfamily A member 1(CYP1A1)	Homo sapiens	GO:0001666~response to hypoxia,GO:0002933~lipid hydroxylation,GO:0006778~porphyrin-containing compound metabolic process,GO:0007568~aging,GO:0008202~steroid metabolic process,GO:0008283~cell proliferation,GO:0009308~amine metabolic process,GO:0009611~response to wounding,GO:0009615~response to virus,GO:0009624~response to nematode,GO:0009635~response to herbicide,GO:0009692~ethylene metabolic process,GO:0009792~embryo development ending in birth or egg hatching,GO:0009804~coumarin metabolic process,GO:0009812~flavonoid metabolic process,GO:0010041~response to iron(III) ion,GO:0014070~response to organic cyclic compound,GO:0017143~insecticide metabolic process,GO:0017144~drug metabolic process,GO:0019341~dibenzo-p-dioxin catabolic process,GO:0019373~epoxygenase P450 pathway,GO:0032094~response to food,GO:0032496~response to lipopolysaccharide,GO:0033189~response to vitamin A,GO:0035902~response to immobilization stress,GO:0042359~vitamin D metabolic process,GO:0042493~response to drug,GO:0042904~9-cis-retinoic acid biosynthetic process,GO:0043010~camera-type eye development,GO:0046677~response to antibiotic,GO:0046685~response to arsenic-containing substance,GO:0048565~digestive tract development,GO:0050665~hydrogen peroxide biosynthetic process,GO:0055093~response to hyperoxia,GO:0055114~oxidation-reduction process,GO:0060137~maternal process involved in parturition,GO:0070365~hepatocyte differentiation,GO:0070988~demethylation,GO:0071407~cellular response to organic cyclic compound,GO:0097267~omega-hydroxylase P450 pathway,GO:1900087~positive regulation of G1/S transition of mitotic cell cycle,
CYP1A2	cytochrome P450 family 1 subfamily A member 2(CYP1A2)	Homo sapiens	GO:0006706~steroid catabolic process,GO:0006778~porphyrin-containing compound metabolic process,GO:0006805~xenobiotic metabolic process,GO:0009403~toxin biosynthetic process,GO:0009791~post-embryonic development,GO:0009820~alkaloid metabolic process,GO:0010468~regulation of gene expression,GO:0016098~monoterpenoid metabolic process,GO:0017144~drug metabolic process,GO:0018894~dibenzo-p-dioxin metabolic process,GO:0019373~epoxygenase P450 pathway,GO:0030324~lung development,GO:0032259~methylation,GO:0032355~response to estradiol,GO:0032496~response to lipopolysaccharide,GO:0032787~monocarboxylic acid metabolic process,GO:0035902~response to immobilization stress,GO:0042737~drug catabolic process,GO:0042738~exogenous drug catabolic process,GO:0045333~cellular respiration,GO:0046483~heterocycle metabolic process,GO:0050665~hydrogen peroxide biosynthetic process,GO:0055114~oxidation-reduction process,GO:0070989~oxidative demethylation,GO:0071276~cellular response to cadmium ion,GO:0071615~oxidative deethylation,GO:0097267~omega-hydroxylase P450 pathway,
CYP17A1	cytochrome P450 family 17 subfamily A member 1(CYP17A1)	Homo sapiens	GO:0006694~steroid biosynthetic process,GO:0006702~androgen biosynthetic process,GO:0006704~glucocorticoid biosynthetic process,GO:0007548~sex differentiation,GO:0008202~steroid metabolic process,GO:0016125~sterol metabolic process,GO:0042446~hormone biosynthetic process,GO:0042448~progesterone metabolic process,GO:0055114~oxidation-reduction process,
CYP2B6	cytochrome P450 family 2 subfamily B member 6(CYP2B6)	Homo sapiens	GO:0006805~xenobiotic metabolic process,GO:0008202~steroid metabolic process,GO:0017144~drug metabolic process,GO:0019373~epoxygenase P450 pathway,GO:0042180~cellular ketone metabolic process,GO:0042738~exogenous drug catabolic process,GO:0055114~oxidation-reduction process,
