ID	Gene Name	Species	KEGG_PATHWAY
IL6	interleukin 6(IL6)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04066:HIF-1 signaling pathway,hsa04068:FoxO signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04620:Toll-like receptor signaling pathway,hsa04621:NOD-like receptor signaling pathway,hsa04623:Cytosolic DNA-sensing pathway,hsa04630:Jak-STAT signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04668:TNF signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa04931:Insulin resistance,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05020:Prion diseases,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05134:Legionellosis,hsa05142:Chagas disease (American trypanosomiasis),hsa05143:African trypanosomiasis,hsa05144:Malaria,hsa05146:Amoebiasis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05168:Herpes simplex infection,hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05321:Inflammatory bowel disease (IBD),hsa05323:Rheumatoid arthritis,hsa05332:Graft-versus-host disease,hsa05410:Hypertrophic cardiomyopathy (HCM),
IYD	iodotyrosine deiodinase(IYD)	Homo sapiens	hsa04918:Thyroid hormone synthesis,
KSR2	kinase suppressor of ras 2(KSR2)	Homo sapiens	hsa04014:Ras signaling pathway,
KNG1	kininogen 1(KNG1)	Homo sapiens	hsa04610:Complement and coagulation cascades,
LAMB3	laminin subunit beta 3(LAMB3)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,
LAMB4	laminin subunit beta 4(LAMB4)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,
LEFTY1	left-right determination factor 1(LEFTY1)	Homo sapiens	hsa04350:TGF-beta signaling pathway,
LHCGR	luteinizing hormone/choriogonadotropin receptor(LHCGR)	Homo sapiens	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04913:Ovarian steroidogenesis,hsa04917:Prolactin signaling pathway,
MTNR1A	melatonin receptor 1A(MTNR1A)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04713:Circadian entrainment,
MT1G	metallothionein 1G(MT1G)	Homo sapiens	hsa04978:Mineral absorption,
MT1H	metallothionein 1H(MT1H)	Homo sapiens	hsa04978:Mineral absorption,
MOGAT2	monoacylglycerol O-acyltransferase 2(MOGAT2)	Homo sapiens	hsa00561:Glycerolipid metabolism,hsa04975:Fat digestion and absorption,
MLNR	motilin receptor(MLNR)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,
MYH1	myosin heavy chain 1(MYH1)	Homo sapiens	hsa04530:Tight junction,
MYH7	myosin heavy chain 7(MYH7)	Homo sapiens	hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa05416:Viral myocarditis,
MYH8	myosin heavy chain 8(MYH8)	Homo sapiens	hsa04530:Tight junction,
MYLK3	myosin light chain kinase 3(MYLK3)	Homo sapiens	hsa04020:Calcium signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04270:Vascular smooth muscle contraction,hsa04510:Focal adhesion,hsa04611:Platelet activation,hsa04810:Regulation of actin cytoskeleton,hsa04921:Oxytocin signaling pathway,hsa04971:Gastric acid secretion,
NKD1	naked cuticle homolog 1(NKD1)	Homo sapiens	hsa04310:Wnt signaling pathway,
NKD2	naked cuticle homolog 2(NKD2)	Homo sapiens	hsa04310:Wnt signaling pathway,
NTNG1	netrin G1(NTNG1)	Homo sapiens	hsa04360:Axon guidance,hsa04514:Cell adhesion molecules (CAMs),
NEU4	neuraminidase 4(NEU4)	Homo sapiens	hsa00511:Other glycan degradation,hsa00600:Sphingolipid metabolism,
NRXN1	neurexin 1(NRXN1)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),
NMUR2	neuromedin U receptor 2(NMUR2)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,
NMRK2	nicotinamide riboside kinase 2(NMRK2)	Homo sapiens	hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
NOS1	nitric oxide synthase 1(NOS1)	Homo sapiens	hsa00220:Arginine biosynthesis,hsa00330:Arginine and proline metabolism,hsa01100:Metabolic pathways,hsa04020:Calcium signaling pathway,hsa04145:Phagosome,hsa04713:Circadian entrainment,hsa04730:Long-term depression,hsa04970:Salivary secretion,hsa05010:Alzheimer's disease,hsa05014:Amyotrophic lateral sclerosis (ALS),
PAK5	p21 (RAC1) activated kinase 5(PAK5)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa04360:Axon guidance,hsa04510:Focal adhesion,hsa04660:T cell receptor signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa05211:Renal cell carcinoma,
PTH1R	parathyroid hormone 1 receptor(PTH1R)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04961:Endocrine and other factor-regulated calcium reabsorption,
PAH	phenylalanine hydroxylase(PAH)	Homo sapiens	hsa00360:Phenylalanine metabolism,hsa00400:Phenylalanine, tyrosine and tryptophan biosynthesis,hsa01100:Metabolic pathways,hsa01230:Biosynthesis of amino acids,
PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma(PIK3C2G)	Homo sapiens	hsa00562:Inositol phosphate metabolism,hsa01100:Metabolic pathways,hsa04070:Phosphatidylinositol signaling system,
PLA2G4F	phospholipase A2 group IVF(PLA2G4F)	Homo sapiens	hsa00564:Glycerophospholipid metabolism,hsa00565:Ether lipid metabolism,hsa00590:Arachidonic acid metabolism,hsa00591:Linoleic acid metabolism,hsa00592:alpha-Linolenic acid metabolism,hsa01100:Metabolic pathways,hsa04010:MAPK signaling pathway,hsa04014:Ras signaling pathway,hsa04270:Vascular smooth muscle contraction,hsa04370:VEGF signaling pathway,hsa04611:Platelet activation,hsa04664:Fc epsilon RI signaling pathway,hsa04724:Glutamatergic synapse,hsa04726:Serotonergic synapse,hsa04730:Long-term depression,hsa04750:Inflammatory mediator regulation of TRP channels,hsa04912:GnRH signaling pathway,hsa04913:Ovarian steroidogenesis,hsa04921:Oxytocin signaling pathway,hsa05231:Choline metabolism in cancer,
PLA2R1	phospholipase A2 receptor 1(PLA2R1)	Homo sapiens	hsa04145:Phagosome,hsa05152:Tuberculosis,
PLCZ1	phospholipase C zeta 1(PLCZ1)	Homo sapiens	hsa00562:Inositol phosphate metabolism,hsa01100:Metabolic pathways,hsa04020:Calcium signaling pathway,hsa04070:Phosphatidylinositol signaling system,hsa04114:Oocyte meiosis,hsa04919:Thyroid hormone signaling pathway,
PSAT1	phosphoserine aminotransferase 1(PSAT1)	Homo sapiens	hsa00260:Glycine, serine and threonine metabolism,hsa00750:Vitamin B6 metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,hsa01230:Biosynthesis of amino acids,
PLG	plasminogen(PLG)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04610:Complement and coagulation cascades,hsa05150:Staphylococcus aureus infection,hsa05164:Influenza A,
KCNK10	potassium two pore domain channel subfamily K member 10(KCNK10)	Homo sapiens	hsa04971:Gastric acid secretion,
KCND2	potassium voltage-gated channel subfamily D member 2(KCND2)	Homo sapiens	hsa04726:Serotonergic synapse,
KCNJ1	potassium voltage-gated channel subfamily J member 1(KCNJ1)	Homo sapiens	hsa04960:Aldosterone-regulated sodium reabsorption,hsa04971:Gastric acid secretion,
KCNJ10	potassium voltage-gated channel subfamily J member 10(KCNJ10)	Homo sapiens	hsa04971:Gastric acid secretion,
KCNJ13	potassium voltage-gated channel subfamily J member 13(KCNJ13)	Homo sapiens	hsa04974:Protein digestion and absorption,
PTGDS	prostaglandin D2 synthase(PTGDS)	Homo sapiens	hsa00590:Arachidonic acid metabolism,hsa01100:Metabolic pathways,
PTGER1	prostaglandin E receptor 1(PTGER1)	Homo sapiens	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa05200:Pathways in cancer,
PROC	protein C, inactivator of coagulation factors Va and VIIIa(PROC)	Homo sapiens	hsa04610:Complement and coagulation cascades,
P2RX2	purinergic receptor P2X 2(P2RX2)	Homo sapiens	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,
RASD1	ras related dexamethasone induced 1(RASD1)	Homo sapiens	hsa04713:Circadian entrainment,
RAMP1	receptor activity modifying protein 1(RAMP1)	Homo sapiens	hsa04270:Vascular smooth muscle contraction,
RPRM	reprimo, TP53 dependent G2 arrest mediator candidate(RPRM)	Homo sapiens	hsa04115:p53 signaling pathway,
RBP2	retinol binding protein 2(RBP2)	Homo sapiens	hsa04977:Vitamin digestion and absorption,
RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)(RDH12)	Homo sapiens	hsa00830:Retinol metabolism,hsa01100:Metabolic pathways,
RDH8	retinol dehydrogenase 8 (all-trans)(RDH8)	Homo sapiens	hsa00830:Retinol metabolism,hsa01100:Metabolic pathways,
SOST	sclerostin(SOST)	Homo sapiens	hsa04310:Wnt signaling pathway,
SFRP1	secreted frizzled related protein 1(SFRP1)	Homo sapiens	hsa04310:Wnt signaling pathway,
SERPINA5	serpin family A member 5(SERPINA5)	Homo sapiens	hsa04610:Complement and coagulation cascades,
SERPINC1	serpin family C member 1(SERPINC1)	Homo sapiens	hsa04610:Complement and coagulation cascades,
SERPIND1	serpin family D member 1(SERPIND1)	Homo sapiens	hsa04610:Complement and coagulation cascades,
SCNN1B	sodium channel epithelial 1 beta subunit(SCNN1B)	Homo sapiens	hsa04742:Taste transduction,hsa04960:Aldosterone-regulated sodium reabsorption,
SCNN1G	sodium channel epithelial 1 gamma subunit(SCNN1G)	Homo sapiens	hsa04742:Taste transduction,hsa04960:Aldosterone-regulated sodium reabsorption,
SCN7A	sodium voltage-gated channel alpha subunit 7(SCN7A)	Homo sapiens	hsa04261:Adrenergic signaling in cardiomyocytes,
SLC1A7	solute carrier family 1 member 7(SLC1A7)	Homo sapiens	hsa04724:Glutamatergic synapse,
SLC22A7	solute carrier family 22 member 7(SLC22A7)	Homo sapiens	hsa04976:Bile secretion,
SLC22A8	solute carrier family 22 member 8(SLC22A8)	Homo sapiens	hsa04976:Bile secretion,
SLC26A4	solute carrier family 26 member 4(SLC26A4)	Homo sapiens	hsa04918:Thyroid hormone synthesis,
SLC38A3	solute carrier family 38 member 3(SLC38A3)	Homo sapiens	hsa04724:Glutamatergic synapse,hsa04727:GABAergic synapse,hsa04964:Proximal tubule bicarbonate reclamation,
SLC5A7	solute carrier family 5 member 7(SLC5A7)	Homo sapiens	hsa04725:Cholinergic synapse,hsa05231:Choline metabolism in cancer,
SLC7A8	solute carrier family 7 member 8(SLC7A8)	Homo sapiens	hsa04974:Protein digestion and absorption,
SLC9A4	solute carrier family 9 member A4(SLC9A4)	Homo sapiens	hsa04971:Gastric acid secretion,
SLCO1A2	solute carrier organic anion transporter family member 1A2(SLCO1A2)	Homo sapiens	hsa04976:Bile secretion,
SYT1	synaptotagmin 1(SYT1)	Homo sapiens	hsa04721:Synaptic vesicle cycle,
TACR3	tachykinin receptor 3(TACR3)	Homo sapiens	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,
TBL1Y	transducin beta like 1, Y-linked(TBL1Y)	Homo sapiens	hsa04310:Wnt signaling pathway,
TRPM6	transient receptor potential cation channel subfamily M member 6(TRPM6)	Homo sapiens	hsa04978:Mineral absorption,
TRPV5	transient receptor potential cation channel subfamily V member 5(TRPV5)	Homo sapiens	hsa04961:Endocrine and other factor-regulated calcium reabsorption,
TRPV6	transient receptor potential cation channel subfamily V member 6(TRPV6)	Homo sapiens	hsa04970:Salivary secretion,hsa04978:Mineral absorption,
TMPRSS4	transmembrane protease, serine 4(TMPRSS4)	Homo sapiens	hsa05164:Influenza A,
TNNC1	troponin C1, slow skeletal and cardiac type(TNNC1)	Homo sapiens	hsa04020:Calcium signaling pathway,hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05414:Dilated cardiomyopathy,
TNNT2	troponin T2, cardiac type(TNNT2)	Homo sapiens	hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05414:Dilated cardiomyopathy,
TYRP1	tyrosinase related protein 1(TYRP1)	Homo sapiens	hsa00350:Tyrosine metabolism,hsa01100:Metabolic pathways,hsa04916:Melanogenesis,
UNC13C	unc-13 homolog C(UNC13C)	Homo sapiens	hsa04721:Synaptic vesicle cycle,
UNC5D	unc-5 netrin receptor D(UNC5D)	Homo sapiens	hsa04360:Axon guidance,
UPP2	uridine phosphorylase 2(UPP2)	Homo sapiens	hsa00240:Pyrimidine metabolism,hsa00983:Drug metabolism - other enzymes,hsa01100:Metabolic pathways,
VTN	vitronectin(VTN)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa05205:Proteoglycans in cancer,
