ID	Gene Name	Species	GOTERM_CC_DIRECT
CHD5	chromodomain helicase DNA binding protein 5(CHD5)	Homo sapiens	GO:0000792~heterochromatin,GO:0005634~nucleus,GO:0016020~membrane,GO:0016581~NuRD complex,
CHGB	chromogranin B(CHGB)	Homo sapiens	GO:0005576~extracellular region,GO:0030141~secretory granule,
C16orf89	chromosome 16 open reading frame 89(C16orf89)	Homo sapiens	GO:0005829~cytosol,GO:0016020~membrane,GO:0070062~extracellular exosome,
C20orf203	chromosome 20 open reading frame 203(C20orf203)	Homo sapiens	GO:0005737~cytoplasm,
CLDN14	claudin 14(CLDN14)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005923~bicellular tight junction,GO:0016021~integral component of membrane,
CLDN16	claudin 16(CLDN16)	Homo sapiens	GO:0005886~plasma membrane,GO:0005923~bicellular tight junction,GO:0016021~integral component of membrane,
CLDN19	claudin 19(CLDN19)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005923~bicellular tight junction,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0043296~apical junction complex,
CLDN8	claudin 8(CLDN8)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005923~bicellular tight junction,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016327~apicolateral plasma membrane,
F11	coagulation factor XI(F11)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0070062~extracellular exosome,
CCDC187	coiled-coil domain containing 187(CCDC187)	Homo sapiens	GO:0005813~centrosome,
CCBE1	collagen and calcium binding EGF domains 1(CCBE1)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0005581~collagen trimer,GO:0005615~extracellular space,
COL4A6	collagen type IV alpha 6 chain(COL4A6)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005581~collagen trimer,GO:0005587~collagen type IV trimer,GO:0005788~endoplasmic reticulum lumen,
COL26A1	collagen type XXVI alpha 1 chain(COL26A1)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005581~collagen trimer,GO:0005788~endoplasmic reticulum lumen,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0031012~extracellular matrix,
CR2	complement C3d receptor 2(CR2)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0043235~receptor complex,GO:0070062~extracellular exosome,
C7	complement C7(C7)	Homo sapiens	GO:0005576~extracellular region,GO:0005579~membrane attack complex,GO:0070062~extracellular exosome,
C4BPB	complement component 4 binding protein beta(C4BPB)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0044216~other organism cell,
CNTN1	contactin 1(CNTN1)	Homo sapiens	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0031225~anchored component of membrane,GO:0043209~myelin sheath,GO:0045121~membrane raft,GO:0070062~extracellular exosome,
CNTN5	contactin 5(CNTN5)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0031225~anchored component of membrane,
CNTNAP4	contactin associated protein like 4(CNTNAP4)	Homo sapiens	GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030425~dendrite,GO:0042734~presynaptic membrane,
CPNE4	copine 4(CPNE4)	Homo sapiens	GO:0070062~extracellular exosome,
CPNE6	copine 6(CPNE6)	Homo sapiens	GO:0005768~endosome,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0030424~axon,GO:0030425~dendrite,GO:0043204~perikaryon,GO:0045334~clathrin-coated endocytic vesicle,GO:0070062~extracellular exosome,
CTXN2	cortexin 2(CTXN2)	Homo sapiens	GO:0016021~integral component of membrane,
CTXN3	cortexin 3(CTXN3)	Homo sapiens	GO:0016021~integral component of membrane,
CRHBP	corticotropin releasing hormone binding protein(CRHBP)	Homo sapiens	GO:0005615~extracellular space,GO:0005622~intracellular,GO:0005634~nucleus,GO:0005767~secondary lysosome,GO:0005771~multivesicular body,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005874~microtubule,GO:0030141~secretory granule,GO:0030425~dendrite,GO:0031045~dense core granule,GO:0043196~varicosity,GO:0043204~perikaryon,GO:0043679~axon terminus,
CRB2	crumbs 2, cell polarity complex component(CRB2)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0043234~protein complex,GO:0045121~membrane raft,GO:0070062~extracellular exosome,
CRYAA	crystallin alpha A(CRYAA)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0070062~extracellular exosome,
CST1	cystatin SN(CST1)	Homo sapiens	GO:0005615~extracellular space,
CYP1A1	cytochrome P450 family 1 subfamily A member 1(CYP1A1)	Homo sapiens	GO:0005739~mitochondrion,GO:0005789~endoplasmic reticulum membrane,GO:0031090~organelle membrane,GO:0043231~intracellular membrane-bounded organelle,
CYP1A2	cytochrome P450 family 1 subfamily A member 2(CYP1A2)	Homo sapiens	GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0031090~organelle membrane,GO:0043231~intracellular membrane-bounded organelle,
CYP17A1	cytochrome P450 family 17 subfamily A member 1(CYP17A1)	Homo sapiens	GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0030424~axon,GO:0043025~neuronal cell body,
CYP2B6	cytochrome P450 family 2 subfamily B member 6(CYP2B6)	Homo sapiens	GO:0005789~endoplasmic reticulum membrane,GO:0031090~organelle membrane,
CYP27B1	cytochrome P450 family 27 subfamily B member 1(CYP27B1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005741~mitochondrial outer membrane,
CYP4F2	cytochrome P450 family 4 subfamily F member 2(CYP4F2)	Homo sapiens	GO:0005737~cytoplasm,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0031090~organelle membrane,GO:0043231~intracellular membrane-bounded organelle,
CLNK	cytokine dependent hematopoietic cell linker(CLNK)	Homo sapiens	GO:0005622~intracellular,
DEFB1	defensin beta 1(DEFB1)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005796~Golgi lumen,GO:0070062~extracellular exosome,GO:0097225~sperm midpiece,
DIO1	deiodinase, iodothyronine type I(DIO1)	Homo sapiens	GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
DNER	delta/notch like EGF repeat containing(DNER)	Homo sapiens	GO:0005769~early endosome,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030425~dendrite,GO:0043025~neuronal cell body,
DDN	dendrin(DDN)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005789~endoplasmic reticulum membrane,GO:0032591~dendritic spine membrane,GO:0042995~cell projection,GO:0043204~perikaryon,
DES	desmin(DES)	Homo sapiens	GO:0005829~cytosol,GO:0005882~intermediate filament,GO:0005916~fascia adherens,GO:0014704~intercalated disc,GO:0030018~Z disc,GO:0031594~neuromuscular junction,GO:0042383~sarcolemma,GO:0045111~intermediate filament cytoskeleton,GO:0070062~extracellular exosome,
DPEP1	dipeptidase 1 (renal)(DPEP1)	Homo sapiens	GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0016324~apical plasma membrane,GO:0031225~anchored component of membrane,GO:0031528~microvillus membrane,GO:0045177~apical part of cell,GO:0070062~extracellular exosome,
DPP10	dipeptidyl peptidase like 10(DPP10)	Homo sapiens	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,
DPP6	dipeptidyl peptidase like 6(DPP6)	Homo sapiens	GO:0005886~plasma membrane,GO:0008076~voltage-gated potassium channel complex,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
DUSP26	dual specificity phosphatase 26 (putative)(DUSP26)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005794~Golgi apparatus,GO:0070062~extracellular exosome,
DUSP9	dual specificity phosphatase 9(DUSP9)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3(ENTPD3)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6(ENPP6)	Homo sapiens	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0031225~anchored component of membrane,GO:0070062~extracellular exosome,
ERVMER34-1	endogenous retrovirus group MER34 member 1(ERVMER34-1)	Homo sapiens	GO:0016021~integral component of membrane,GO:0019031~viral envelope,
ERVV-2	endogenous retrovirus group V member 2(ERVV-2)	Homo sapiens	GO:0016021~integral component of membrane,GO:0019031~viral envelope,
ERP27	endoplasmic reticulum protein 27(ERP27)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005788~endoplasmic reticulum lumen,
EGF	epidermal growth factor(EGF)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005765~lysosomal membrane,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0031093~platelet alpha granule lumen,GO:0043235~receptor complex,GO:0070062~extracellular exosome,
EDDM3A	epididymal protein 3A(EDDM3A)	Homo sapiens	GO:0005615~extracellular space,
ERFE	erythroferrone(ERFE)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,
ESRRB	estrogen related receptor beta(ESRRB)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,
EEF1A2	eukaryotic translation elongation factor 1 alpha 2(EEF1A2)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005853~eukaryotic translation elongation factor 1 complex,GO:0043025~neuronal cell body,GO:0043209~myelin sheath,GO:0098574~cytoplasmic side of lysosomal membrane,
EVX1	even-skipped homeobox 1(EVX1)	Homo sapiens	GO:0005654~nucleoplasm,GO:0016235~aggresome,GO:0031965~nuclear membrane,
FAM151A	family with sequence similarity 151 member A(FAM151A)	Homo sapiens	GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
FAM166A	family with sequence similarity 166 member A(FAM166A)	Homo sapiens	GO:0005634~nucleus,
FAM180A	family with sequence similarity 180 member A(FAM180A)	Homo sapiens	GO:0005576~extracellular region,
FABP1	fatty acid binding protein 1(FABP1)	Homo sapiens	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005782~peroxisomal matrix,GO:0005829~cytosol,GO:0043234~protein complex,GO:0045179~apical cortex,GO:0070062~extracellular exosome,
FER1L6	fer-1 like family member 6(FER1L6)	Homo sapiens	GO:0016021~integral component of membrane,
FBN3	fibrillin 3(FBN3)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0031012~extracellular matrix,
FIBCD1	fibrinogen C domain containing 1(FIBCD1)	Homo sapiens	GO:0016020~membrane,GO:0016021~integral component of membrane,
FGF1	fibroblast growth factor 1(FGF1)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005829~cytosol,GO:0005938~cell cortex,
FGF9	fibroblast growth factor 9(FGF9)	Homo sapiens	GO:0005576~extracellular region,GO:0005604~basement membrane,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0070062~extracellular exosome,
FLRT1	fibronectin leucine rich transmembrane protein 1(FLRT1)	Homo sapiens	GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005911~cell-cell junction,GO:0005925~focal adhesion,GO:0030659~cytoplasmic vesicle membrane,GO:0031410~cytoplasmic vesicle,GO:0032809~neuronal cell body membrane,GO:0044306~neuron projection terminus,GO:0048471~perinuclear region of cytoplasm,
FOLR3	folate receptor 3(FOLR3)	Homo sapiens	GO:0005576~extracellular region,GO:0016020~membrane,GO:0019898~extrinsic component of membrane,
FOXA3	forkhead box A3(FOXA3)	Homo sapiens	GO:0005634~nucleus,
FOXI1	forkhead box I1(FOXI1)	Homo sapiens	GO:0005634~nucleus,
FOXI2	forkhead box I2(FOXI2)	Homo sapiens	GO:0005634~nucleus,
FOXJ1	forkhead box J1(FOXJ1)	Homo sapiens	GO:0005634~nucleus,
FOXN1	forkhead box N1(FOXN1)	Homo sapiens	GO:0005634~nucleus,
FMN2	formin 2(FMN2)	Homo sapiens	GO:0005730~nucleolus,GO:0005789~endoplasmic reticulum membrane,GO:0005819~spindle,GO:0005829~cytosol,GO:0005884~actin filament,GO:0005886~plasma membrane,GO:0005902~microvillus,GO:0005938~cell cortex,GO:0015629~actin cytoskeleton,GO:0030659~cytoplasmic vesicle membrane,GO:0048471~perinuclear region of cytoplasm,
FUT3	fucosyltransferase 3 (Lewis blood group)(FUT3)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005794~Golgi apparatus,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0032580~Golgi cisterna membrane,GO:0070062~extracellular exosome,
FUT9	fucosyltransferase 9(FUT9)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005794~Golgi apparatus,GO:0016021~integral component of membrane,GO:0032580~Golgi cisterna membrane,
GAL3ST2	galactose-3-O-sulfotransferase 2(GAL3ST2)	Homo sapiens	GO:0005794~Golgi apparatus,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0032580~Golgi cisterna membrane,
GAL3ST3	galactose-3-O-sulfotransferase 3(GAL3ST3)	Homo sapiens	GO:0016021~integral component of membrane,GO:0032580~Golgi cisterna membrane,
GLB1L3	galactosidase beta 1 like 3(GLB1L3)	Homo sapiens	GO:0005773~vacuole,
GABRA2	gamma-aminobutyric acid type A receptor alpha2 subunit(GABRA2)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030285~integral component of synaptic vesicle membrane,GO:0030424~axon,GO:0030425~dendrite,GO:0034707~chloride channel complex,GO:0043025~neuronal cell body,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:0060077~inhibitory synapse,GO:0098794~postsynapse,GO:1902711~GABA-A receptor complex,
GABRA4	gamma-aminobutyric acid type A receptor alpha4 subunit(GABRA4)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0034707~chloride channel complex,GO:0045211~postsynaptic membrane,GO:1902711~GABA-A receptor complex,
GABRA5	gamma-aminobutyric acid type A receptor alpha5 subunit(GABRA5)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030425~dendrite,GO:0032809~neuronal cell body membrane,GO:0034707~chloride channel complex,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:1902711~GABA-A receptor complex,
GABRG3	gamma-aminobutyric acid type A receptor gamma3 subunit(GABRG3)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0034707~chloride channel complex,GO:0045211~postsynaptic membrane,GO:1902711~GABA-A receptor complex,
GABRP	gamma-aminobutyric acid type A receptor pi subunit(GABRP)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0034707~chloride channel complex,GO:0045202~synapse,GO:0045211~postsynaptic membrane,
GJA3	gap junction protein alpha 3(GJA3)	Homo sapiens	GO:0005922~connexon complex,GO:0016021~integral component of membrane,
GJA8	gap junction protein alpha 8(GJA8)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0005922~connexon complex,GO:0016021~integral component of membrane,
GDNF	glial cell derived neurotrophic factor(GDNF)	Homo sapiens	GO:0005576~extracellular region,GO:0005622~intracellular,
G6PC	glucose-6-phosphatase catalytic subunit(G6PC)	Homo sapiens	GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0030176~integral component of endoplasmic reticulum membrane,
GADL1	glutamate decarboxylase like 1(GADL1)	Homo sapiens	GO:0005829~cytosol,
GRIK5	glutamate ionotropic receptor kainate type subunit 5(GRIK5)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0014069~postsynaptic density,GO:0030054~cell junction,GO:0030425~dendrite,GO:0032983~kainate selective glutamate receptor complex,GO:0042734~presynaptic membrane,GO:0043195~terminal bouton,GO:0043204~perikaryon,GO:0045211~postsynaptic membrane,
GRM1	glutamate metabotropic receptor 1(GRM1)	Homo sapiens	GO:0005634~nucleus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0014069~postsynaptic density,GO:0016021~integral component of membrane,GO:0030425~dendrite,GO:0038037~G-protein coupled receptor dimeric complex,GO:0038038~G-protein coupled receptor homodimeric complex,
GPAT3	glycerol-3-phosphate acyltransferase 3(GPAT3)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,
GP2	glycoprotein 2(GP2)	Homo sapiens	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0031225~anchored component of membrane,GO:0070062~extracellular exosome,
CGA	glycoprotein hormones, alpha polypeptide(CGA)	Homo sapiens	GO:0005576~extracellular region,GO:0005796~Golgi lumen,
GPC5	glypican 5(GPC5)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005796~Golgi lumen,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0031225~anchored component of membrane,GO:0043202~lysosomal lumen,
GREM1	gremlin 1, DAN family BMP antagonist(GREM1)	Homo sapiens	GO:0005615~extracellular space,GO:0009986~cell surface,
GUCA1C	guanylate cyclase activator 1C(GUCA1C)	Homo sapiens	GO:0097381~photoreceptor disc membrane,
HP	haptoglobin(HP)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031838~haptoglobin-hemoglobin complex,GO:0070062~extracellular exosome,GO:0071682~endocytic vesicle lumen,GO:0072562~blood microparticle,
HSPA2	heat shock protein family A (Hsp70) member 2(HSPA2)	Homo sapiens	GO:0000795~synaptonemal complex,GO:0001673~male germ cell nucleus,GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0009986~cell surface,GO:0016020~membrane,GO:0036128~CatSper complex,GO:0043209~myelin sheath,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,GO:0072687~meiotic spindle,
HSPB6	heat shock protein family B (small) member 6(HSPB6)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
HHATL	hedgehog acyltransferase-like(HHATL)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0048471~perinuclear region of cytoplasm,
HELT	helt bHLH transcription factor(HELT)	Homo sapiens	GO:0005634~nucleus,GO:0005667~transcription factor complex,
HS6ST2	heparan sulfate 6-O-sulfotransferase 2(HS6ST2)	Homo sapiens	GO:0000139~Golgi membrane,GO:0005654~nucleoplasm,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5(HS3ST5)	Homo sapiens	GO:0000139~Golgi membrane,GO:0016021~integral component of membrane,
HS3ST6	heparan sulfate-glucosamine 3-sulfotransferase 6(HS3ST6)	Homo sapiens	GO:0000139~Golgi membrane,GO:0016021~integral component of membrane,
HRG	histidine rich glycoprotein(HRG)	Homo sapiens	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0031093~platelet alpha granule lumen,GO:0036019~endolysosome,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
HIST1H1E	histone cluster 1 H1 family member e(HIST1H1E)	Homo sapiens	GO:0000786~nucleosome,GO:0005634~nucleus,GO:0005720~nuclear heterochromatin,GO:0070062~extracellular exosome,
HIST1H4C	histone cluster 1 H4 family member c(HIST1H4C)	Homo sapiens	GO:0000228~nuclear chromosome,GO:0000784~nuclear chromosome, telomeric region,GO:0000786~nucleosome,GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016020~membrane,GO:0031012~extracellular matrix,GO:0043234~protein complex,GO:0070062~extracellular exosome,
HOXB9	homeobox B9(HOXB9)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,
HAP1	huntingtin associated protein 1(HAP1)	Homo sapiens	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005764~lysosome,GO:0005776~autophagosome,GO:0005783~endoplasmic reticulum,GO:0005814~centriole,GO:0005856~cytoskeleton,GO:0008021~synaptic vesicle,GO:0015629~actin cytoskeleton,GO:0016234~inclusion body,GO:0030054~cell junction,GO:1904115~axon cytoplasm,
HYAL4	hyaluronoglucosaminidase 4(HYAL4)	Homo sapiens	GO:0009986~cell surface,GO:0016021~integral component of membrane,
HCAR2	hydroxycarboxylic acid receptor 2(HCAR2)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,
HCN2	hyperpolarization activated cyclic nucleotide gated potassium channel 2(HCN2)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0008076~voltage-gated potassium channel complex,GO:0098855~HCN channel complex,
HCRTR2	hypocretin receptor 2(HCRTR2)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
IGSF11	immunoglobulin superfamily member 11(IGSF11)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
IGFN1	immunoglobulin-like and fibronectin type III domain containing 1(IGFN1)	Homo sapiens	GO:0005634~nucleus,GO:0030018~Z disc,
INPP5J	inositol polyphosphate-5-phosphatase J(INPP5J)	Homo sapiens	GO:0001726~ruffle,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0030426~growth cone,GO:0043198~dendritic shaft,
ITPKA	inositol-trisphosphate 3-kinase A(ITPKA)	Homo sapiens	GO:0005829~cytosol,GO:0043197~dendritic spine,
INSL6	insulin like 6(INSL6)	Homo sapiens	GO:0005576~extracellular region,
IGF2	insulin like growth factor 2(IGF2)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0031093~platelet alpha granule lumen,GO:0070062~extracellular exosome,
IGFBPL1	insulin like growth factor binding protein like 1(IGFBPL1)	Homo sapiens	GO:0005576~extracellular region,
INSRR	insulin receptor related receptor(INSRR)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0043235~receptor complex,
ITGB6	integrin subunit beta 6(ITGB6)	Homo sapiens	GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0008305~integrin complex,GO:0009897~external side of plasma membrane,GO:0043235~receptor complex,GO:0070062~extracellular exosome,
ITLN1	intelectin 1(ITLN1)	Homo sapiens	GO:0031225~anchored component of membrane,GO:0031526~brush border membrane,GO:0043235~receptor complex,GO:0045121~membrane raft,GO:0070062~extracellular exosome,
ITLN2	intelectin 2(ITLN2)	Homo sapiens	GO:0005576~extracellular region,
ITIH2	inter-alpha-trypsin inhibitor heavy chain 2(ITIH2)	Homo sapiens	GO:0005576~extracellular region,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
IL11	interleukin 11(IL11)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,
IL6	interleukin 6(IL6)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005896~interleukin-6 receptor complex,GO:0009897~external side of plasma membrane,
ISX	intestine specific homeobox(ISX)	Homo sapiens	GO:0005634~nucleus,
IYD	iodotyrosine deiodinase(IYD)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
IRX1	iroquois homeobox 1(IRX1)	Homo sapiens	GO:0005634~nucleus,
IRX2	iroquois homeobox 2(IRX2)	Homo sapiens	GO:0005634~nucleus,
KLK5	kallikrein related peptidase 5(KLK5)	Homo sapiens	GO:0005615~extracellular space,GO:0097209~epidermal lamellar body,
KLK6	kallikrein related peptidase 6(KLK6)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0015630~microtubule cytoskeleton,GO:0031965~nuclear membrane,GO:0045171~intercellular bridge,
KLK7	kallikrein related peptidase 7(KLK7)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0097209~epidermal lamellar body,
KLHL1	kelch like family member 1(KLHL1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0030425~dendrite,GO:0031463~Cul3-RING ubiquitin ligase complex,GO:0043025~neuronal cell body,
KLHL14	kelch like family member 14(KLHL14)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0031463~Cul3-RING ubiquitin ligase complex,GO:0043005~neuron projection,GO:0043025~neuronal cell body,
KLHL3	kelch like family member 3(KLHL3)	Homo sapiens	GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0031463~Cul3-RING ubiquitin ligase complex,
KRT23	keratin 23(KRT23)	Homo sapiens	GO:0005882~intermediate filament,
KRT40	keratin 40(KRT40)	Homo sapiens	GO:0005882~intermediate filament,
KLRG2	killer cell lectin like receptor G2(KLRG2)	Homo sapiens	GO:0016021~integral component of membrane,
KSR2	kinase suppressor of ras 2(KSR2)	Homo sapiens	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0016020~membrane,
KIF1A	kinesin family member 1A(KIF1A)	Homo sapiens	GO:0005871~kinesin complex,GO:0005874~microtubule,GO:1904115~axon cytoplasm,
KNG1	kininogen 1(KNG1)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0031093~platelet alpha granule lumen,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
KLB	klotho beta(KLB)	Homo sapiens	GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
KY	kyphoscoliosis peptidase(KY)	Homo sapiens	GO:0005856~cytoskeleton,GO:0030018~Z disc,
LTF	lactotransferrin(LTF)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0009986~cell surface,GO:0030141~secretory granule,GO:0042581~specific granule,GO:0043234~protein complex,GO:0070062~extracellular exosome,GO:0097013~phagocytic vesicle lumen,
LAMB3	laminin subunit beta 3(LAMB3)	Homo sapiens	GO:0005576~extracellular region,GO:0005610~laminin-5 complex,
LAMB4	laminin subunit beta 4(LAMB4)	Homo sapiens	GO:0005604~basement membrane,
LEFTY1	left-right determination factor 1(LEFTY1)	Homo sapiens	GO:0005615~extracellular space,
LGI2	leucine rich repeat LGI family member 2(LGI2)	Homo sapiens	GO:0005576~extracellular region,
LINGO2	leucine rich repeat and Ig domain containing 2(LINGO2)	Homo sapiens	GO:0016021~integral component of membrane,
