ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
CDH19	cadherin 19(CDH19)	Homo sapiens				GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005509~calcium ion binding,	IPR000233:Cadherin, cytoplasmic domain,IPR002126:Cadherin,IPR015919:Cadherin-like,IPR020894:Cadherin conserved site,IPR027397:Catenin binding domain,				SM00112:CA,	Alternative splicing,Calcium,Cell adhesion,Cell membrane,Cleavage on pair of basic residues,Complete proteome,Glycoprotein,Membrane,Metal-binding,Proteomics identification,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Cadherin-19,domain:Cadherin 1,domain:Cadherin 2,domain:Cadherin 3,domain:Cadherin 4,domain:Cadherin 5,glycosylation site:N-linked (GlcNAc...),signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
CLSTN2	calsyntenin 2(CLSTN2)	Homo sapiens				GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0050806~positive regulation of synaptic transmission,GO:0051965~positive regulation of synapse assembly,	GO:0000139~Golgi membrane,GO:0005789~endoplasmic reticulum membrane,GO:0009986~cell surface,GO:0014069~postsynaptic density,GO:0016021~integral component of membrane,GO:0045211~postsynaptic membrane,	GO:0005509~calcium ion binding,	IPR002126:Cadherin,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR015919:Cadherin-like,IPR026914:Calsyntenin,				SM00112:CA,	Calcium,Cell adhesion,Cell membrane,Complete proteome,Endoplasmic reticulum,Glycoprotein,Golgi apparatus,Membrane,Polymorphism,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Calsyntenin-2,compositionally biased region:Glu-rich (highly acidic),domain:Cadherin 1,domain:Cadherin 2,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
CA1	carbonic anhydrase 1(CA1)	Homo sapiens				GO:0006730~one-carbon metabolic process,GO:0015701~bicarbonate transport,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0004064~arylesterase activity,GO:0004089~carbonate dehydratase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0016836~hydro-lyase activity,	IPR001148:Alpha carbonic anhydrase,IPR018338:Carbonic anhydrase, alpha-class, conserved site,IPR018442:Carbonic anhydrase, CA-I,IPR023561:Carbonic anhydrase, alpha-class,	hsa00910:Nitrogen metabolism,			SM01057:SM01057,	3D-structure,Acetylation,Complete proteome,Cytoplasm,Direct protein sequencing,Lyase,Metal-binding,Polymorphism,Proteomics identification,Reference proteome,Zinc,	chain:Carbonic anhydrase 1,helix,metal ion-binding site:Zinc; catalytic,modified residue,sequence conflict,sequence variant,strand,turn,
CES5A	carboxylesterase 5A(CES5A)	Homo sapiens			Lipid metabolism,		GO:0005615~extracellular space,GO:0016021~integral component of membrane,	GO:0016787~hydrolase activity,GO:0052689~carboxylic ester hydrolase activity,	IPR002018:Carboxylesterase, type B,IPR019819:Carboxylesterase type B, conserved site,IPR019826:Carboxylesterase type B, active site,					Alternative splicing,Complete proteome,Disulfide bond,Glycoprotein,Hydrolase,Membrane,Polymorphism,Proteomics identification,Reference proteome,Secreted,Serine esterase,Signal,Transmembrane,Transmembrane helix,	active site:Acyl-ester intermediate,active site:Charge relay system,chain:Carboxylesterase 7,disulfide bond,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,splice variant,
CPN2	carboxypeptidase N subunit 2(CPN2)	Homo sapiens				GO:0050790~regulation of catalytic activity,GO:0050821~protein stabilization,	GO:0005576~extracellular region,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0030234~enzyme regulator activity,	IPR000372:Leucine-rich repeat-containing N-terminal,IPR000483:Cysteine-rich flanking region, C-terminal,IPR001611:Leucine-rich repeat,IPR003591:Leucine-rich repeat, typical subtype,				SM00013:LRRNT,SM00082:LRRCT,SM00369:LRR_TYP,	Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Leucine-rich repeat,Polymorphism,Reference proteome,Repeat,Secreted,Signal,	chain:Carboxypeptidase N subunit 2,glycosylation site:N-linked (GlcNAc...),repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 12,repeat:LRR 13,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence conflict,sequence variant,signal peptide,
CADM3	cell adhesion molecule 3(CADM3)	Homo sapiens				GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0008037~cell recognition,GO:0008104~protein localization,GO:0034332~adherens junction organization,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005911~cell-cell junction,GO:0005913~cell-cell adherens junction,	GO:0004872~receptor activity,GO:0005102~receptor binding,GO:0042803~protein homodimerization activity,GO:0050839~cell adhesion molecule binding,	IPR003585:Neurexin/syndecan/glycophorin C,IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013098:Immunoglobulin I-set,IPR013162:CD80-like, immunoglobulin C2-set,IPR013783:Immunoglobulin-like fold,	hsa04514:Cell adhesion molecules (CAMs),			SM00294:4.1m,SM00408:IGc2,SM00409:IG,	3D-structure,Alternative splicing,Calcium,Cell adhesion,Cell junction,Cell membrane,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Immunoglobulin domain,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Cell adhesion molecule 3,disulfide bond,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like V-type,glycosylation site:N-linked (GlcNAc...),helix,sequence variant,signal peptide,splice variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
CHL1	cell adhesion molecule L1 like(CHL1)	Homo sapiens				GO:0001764~neuron migration,GO:0007155~cell adhesion,GO:0007165~signal transduction,GO:0007411~axon guidance,GO:0008344~adult locomotory behavior,GO:0031103~axon regeneration,GO:0035640~exploration behavior,GO:0043524~negative regulation of neuron apoptotic process,GO:0050890~cognition,	GO:0005578~proteinaceous extracellular matrix,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030425~dendrite,GO:0045177~apical part of cell,GO:0070062~extracellular exosome,	GO:0002020~protease binding,	IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like domain,IPR013098:Immunoglobulin I-set,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,IPR026966:Fibronectin type III C-terminal domain,				SM00060:FN3,SM00408:IGc2,SM00409:IG,	Alternative splicing,Cell adhesion,Cell membrane,Complete proteome,Developmental protein,Differentiation,Disulfide bond,Extracellular matrix,Glycoprotein,Immunoglobulin domain,Membrane,Neurogenesis,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,Transmembrane,Transmembrane helix,	chain:Neural cell adhesion molecule L1-like protein,chain:Processed neural cell adhesion molecule L1-like protein,disulfide bond,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Fibronectin type-III 4,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,domain:Ig-like C2-type 4,domain:Ig-like C2-type 5,domain:Ig-like C2-type 6,glycosylation site:N-linked (GlcNAc...),modified residue,sequence variant,short sequence motif:DGEA,short sequence motif:FIG[AQ]Y,signal peptide,site:Cleavage; by ADAM8,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
CDC20B	cell division cycle 20B(CDC20B)	Homo sapiens				GO:1904668~positive regulation of ubiquitin protein ligase activity,		GO:0005515~protein binding,GO:0010997~anaphase-promoting complex binding,GO:0097027~ubiquitin-protein transferase activator activity,	IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,IPR019775:WD40 repeat, conserved site,				SM00320:WD40,	Alternative splicing,Complete proteome,Polymorphism,Reference proteome,Repeat,WD repeat,	chain:Cell division cycle protein 20 homolog B,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,repeat:WD 6,repeat:WD 7,sequence variant,splice variant,
CWH43	cell wall biogenesis 43 C-terminal homolog(CWH43)	Homo sapiens				GO:0006506~GPI anchor biosynthetic process,	GO:0016021~integral component of membrane,		IPR005135:Endonuclease/exonuclease/phosphatase,IPR027317:PGAP2-interacting protein,					Complete proteome,Glycoprotein,GPI-anchor biosynthesis,Membrane,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,	chain:PGAP2-interacting protein,glycosylation site:N-linked (GlcNAc...),region of interest:Required for function in lipid remodeling,sequence variant,transmembrane region,
CLCNKB	chloride voltage-gated channel Kb(CLCNKB)	Homo sapiens				GO:0006810~transport,GO:0007588~excretion,GO:0034220~ion transmembrane transport,GO:1902476~chloride transmembrane transport,GO:1903959~regulation of anion transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0034707~chloride channel complex,	GO:0005247~voltage-gated chloride channel activity,GO:0031404~chloride ion binding,GO:0046872~metal ion binding,	IPR000644:Cystathionine beta-synthase, core,IPR001807:Chloride channel, voltage gated,IPR002250:Chloride channel ClC-K,IPR014743:Chloride channel, core,	hsa04966:Collecting duct acid secretion,	607364~Bartter syndrome, type 3,613090~Bartter syndrome, type 4b, digenic,		SM00116:CBS,	Alternative splicing,Bartter syndrome,Calcium,CBS domain,Cell membrane,Chloride,Chloride channel,Complete proteome,Deafness,Disease mutation,Glycoprotein,Ion channel,Ion transport,Membrane,Metal-binding,Polymorphism,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Transport,Voltage-gated channel,	chain:Chloride channel protein ClC-Kb,domain:CBS 1,domain:CBS 2,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,topological domain:Cytoplasmic,transmembrane region,
CHRNB4	cholinergic receptor nicotinic beta 4 subunit(CHRNB4)	Homo sapiens				GO:0001508~action potential,GO:0006811~ion transport,GO:0006939~smooth muscle contraction,GO:0006940~regulation of smooth muscle contraction,GO:0007165~signal transduction,GO:0007271~synaptic transmission, cholinergic,GO:0007626~locomotory behavior,GO:0035094~response to nicotine,GO:0035095~behavioral response to nicotine,GO:0046928~regulation of neurotransmitter secretion,GO:0051291~protein heterooligomerization,GO:0051971~positive regulation of transmission of nerve impulse,GO:0060084~synaptic transmission involved in micturition,GO:0098655~cation transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005892~acetylcholine-gated channel complex,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0043005~neuron projection,GO:0045211~postsynaptic membrane,	GO:0004889~acetylcholine-activated cation-selective channel activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0008144~drug binding,GO:0015276~ligand-gated ion channel activity,GO:0015464~acetylcholine receptor activity,GO:0042166~acetylcholine binding,GO:0046982~protein heterodimerization activity,	IPR002394:Nicotinic acetylcholine receptor,IPR006029:Neurotransmitter-gated ion-channel transmembrane domain,IPR006201:Neurotransmitter-gated ion-channel,IPR006202:Neurotransmitter-gated ion-channel ligand-binding,IPR018000:Neurotransmitter-gated ion-channel, conserved site,IPR027361:Nicotinic acetylcholine-gated receptor, transmembrane domain,	hsa04080:Neuroactive ligand-receptor interaction,hsa04725:Cholinergic synapse,				3D-structure,Alternative splicing,Cell junction,Cell membrane,Complete proteome,Disulfide bond,Glycoprotein,Ion channel,Ion transport,Ligand-gated ion channel,Membrane,Polymorphism,Postsynaptic cell membrane,Proteomics identification,Receptor,Reference proteome,Signal,Synapse,Transmembrane,Transmembrane helix,Transport,	chain:Neuronal acetylcholine receptor subunit beta-4,disulfide bond,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
C1orf87	chromosome 1 open reading frame 87(C1orf87)	Homo sapiens							IPR011992:EF-hand-like domain,					Alternative splicing,Complete proteome,Polymorphism,Proteomics identification,Reference proteome,	chain:Uncharacterized protein C1orf87,sequence variant,splice variant,
C15orf56	chromosome 15 open reading frame 56(C15orf56)	Homo sapiens												Complete proteome,Polymorphism,Reference proteome,	chain:Putative uncharacterized protein C15orf56,sequence variant,
C16orf89	chromosome 16 open reading frame 89(C16orf89)	Homo sapiens				GO:0048741~skeletal muscle fiber development,	GO:0005829~cytosol,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0042803~protein homodimerization activity,						Alternative splicing,Complete proteome,Glycoprotein,Polymorphism,Proteomics identification,Reference proteome,Secreted,Signal,	chain:Uncharacterized protein C16orf89,sequence conflict,sequence variant,signal peptide,splice variant,
CFAP47	cilia and flagella associated protein 47(CFAP47)	Homo sapiens					GO:0016021~integral component of membrane,		IPR001715:Calponin homology domain,					Alternative splicing,Complete proteome,Membrane,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,	chain:Uncharacterized protein CXorf59,glycosylation site:N-linked (GlcNAc...),transmembrane region,
CLDN16	claudin 16(CLDN16)	Homo sapiens				GO:0006811~ion transport,GO:0006875~cellular metal ion homeostasis,GO:0007588~excretion,GO:0016338~calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules,GO:1903830~magnesium ion transmembrane transport,	GO:0005886~plasma membrane,GO:0005923~bicellular tight junction,GO:0016021~integral component of membrane,	GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0015095~magnesium ion transmembrane transporter activity,GO:0042802~identical protein binding,	IPR003927:Claudin-16,IPR004031:PMP-22/EMP/MP20/Claudin,IPR006187:Claudin,IPR017974:Claudin, conserved site,	hsa04514:Cell adhesion molecules (CAMs),hsa04530:Tight junction,hsa04670:Leukocyte transendothelial migration,hsa05160:Hepatitis C,	248250~Hypomagnesemia 3, renal,			Cell junction,Cell membrane,Complete proteome,Disease mutation,Ion transport,Magnesium,Membrane,Primary hypomagnesemia,Reference proteome,Tight junction,Transmembrane,Transmembrane helix,Transport,	chain:Claudin-16,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
CCDC146	coiled-coil domain containing 146(CCDC146)	Homo sapiens					GO:0005814~centriole,							Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Polymorphism,Reference proteome,	chain:Coiled-coil domain-containing protein 146,compositionally biased region:Poly-Gln,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Lys,sequence conflict,sequence variant,splice variant,
COLGALT2	collagen beta(1-O)galactosyltransferase 2(COLGALT2)	Homo sapiens					GO:0005788~endoplasmic reticulum lumen,	GO:0005515~protein binding,GO:0016740~transferase activity,GO:0050211~procollagen galactosyltransferase activity,	IPR002654:Glycosyl transferase, family 25,	hsa00310:Lysine degradation,hsa00514:Other types of O-glycan biosynthesis,				Complete proteome,Endoplasmic reticulum,Glycoprotein,Glycosyltransferase,Polymorphism,Proteomics identification,Reference proteome,Signal,Transferase,	chain:Procollagen galactosyltransferase 2,glycosylation site:N-linked (GlcNAc...),sequence variant,short sequence motif:Prevents secretion from ER,signal peptide,
COL4A6	collagen type IV alpha 6 chain(COL4A6)	Homo sapiens		h_ace2Pathway:Angiotensin-converting enzyme 2 regulates heart function,h_amiPathway:Acute Myocardial Infarction,h_intrinsicPathway:Intrinsic Prothrombin Activation Pathway,h_npp1Pathway:Regulators of Bone Mineralization,h_plateletAppPathway:Platelet Amyloid Precursor Protein Pathway,h_vitCBPathway:Vitamin C in the Brain,		GO:0007155~cell adhesion,GO:0030198~extracellular matrix organization,GO:0030574~collagen catabolic process,GO:0071230~cellular response to amino acid stimulus,	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005581~collagen trimer,GO:0005587~collagen type IV trimer,GO:0005788~endoplasmic reticulum lumen,	GO:0005201~extracellular matrix structural constituent,	IPR001442:Collagen IV, non-collagenous,IPR008160:Collagen triple helix repeat,IPR016187:C-type lectin fold,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa04974:Protein digestion and absorption,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,	300914~Deafness, X-linked 6,		SM00111:C4,	Alternative splicing,Basement membrane,Cell adhesion,Chromosomal rearrangement,Collagen,Complete proteome,Deafness,Disease mutation,Disulfide bond,Extracellular matrix,Glycoprotein,Hydroxylation,Non-syndromic deafness,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:Collagen alpha-6(IV) chain,disulfide bond,domain:Collagen IV NC1,glycosylation site:N-linked (GlcNAc...),region of interest:7S domain,region of interest:Triple-helical region,sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,splice variant,
COL7A1	collagen type VII alpha 1 chain(COL7A1)	Homo sapiens				GO:0006888~ER to Golgi vesicle-mediated transport,GO:0007155~cell adhesion,GO:0008544~epidermis development,GO:0010951~negative regulation of endopeptidase activity,GO:0030198~extracellular matrix organization,GO:0030574~collagen catabolic process,GO:0035987~endodermal cell differentiation,GO:0048208~COPII vesicle coating,	GO:0000139~Golgi membrane,GO:0005576~extracellular region,GO:0005581~collagen trimer,GO:0005590~collagen type VII trimer,GO:0005604~basement membrane,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0030134~ER to Golgi transport vesicle,GO:0031012~extracellular matrix,GO:0033116~endoplasmic reticulum-Golgi intermediate compartment membrane,	GO:0004867~serine-type endopeptidase inhibitor activity,GO:0005515~protein binding,GO:0042802~identical protein binding,	IPR002035:von Willebrand factor, type A,IPR002223:Proteinase inhibitor I2, Kunitz metazoa,IPR003961:Fibronectin, type III,IPR008160:Collagen triple helix repeat,IPR013783:Immunoglobulin-like fold,IPR020901:Proteinase inhibitor I2, Kunitz, conserved site,	hsa04974:Protein digestion and absorption,	131705~Transient bullous of the newborn,131750~Epidermolysis bullosa dystrophica, AD,131850~Epidermolysis bullosa, pretibial,132000~EBD, Bart type,226600~EBD inversa,226600~Epidermolysis bullosa dystrophica, AR,604129~Epidermolysis bullosa pruriginosa,607523~Toenail dystrophy, isolated,EBD, localisata variant~EBD, localisata variant,		SM00060:FN3,SM00327:VWA,	Alternative splicing,Basement membrane,Cell adhesion,Collagen,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Epidermolysis bullosa,Extracellular matrix,Glycoprotein,Hydroxylation,Polymorphism,Protease inhibitor,Proteomics identification,Reference proteome,Repeat,Secreted,Serine protease inhibitor,Signal,	chain:Collagen alpha-1(VII) chain,disulfide bond,domain:BPTI/Kunitz inhibitor,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Fibronectin type-III 4,domain:Fibronectin type-III 5,domain:Fibronectin type-III 6,domain:Fibronectin type-III 7,domain:Fibronectin type-III 8,domain:Fibronectin type-III 9,domain:VWFA 1,domain:VWFA 2,glycosylation site:N-linked (GlcNAc...),glycosylation site:O-linked (Gal...),modified residue,region of interest:Interrupted collagenous region,region of interest:Nonhelical region (NC1),region of interest:Nonhelical region (NC2),region of interest:Triple-helical region,sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,site:Reactive bond,splice variant,
CPNE7	copine 7(CPNE7)	Homo sapiens				GO:0006629~lipid metabolic process,GO:0006810~transport,GO:0046474~glycerophospholipid biosynthetic process,GO:0071277~cellular response to calcium ion,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0070062~extracellular exosome,	GO:0005215~transporter activity,GO:0005515~protein binding,	IPR000008:C2 calcium-dependent membrane targeting,IPR002035:von Willebrand factor, type A,IPR010734:Copine,				SM00239:C2,SM00327:VWA,	Alternative splicing,Cell membrane,Complete proteome,Cytoplasm,Membrane,Nucleus,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Copine-7,domain:C2 1,domain:C2 2,domain:VWFA,sequence variant,splice variant,
CORO6	coronin 6(CORO6)	Homo sapiens				GO:0030036~actin cytoskeleton organization,	GO:0015629~actin cytoskeleton,	GO:0005515~protein binding,GO:0051015~actin filament binding,	IPR001680:WD40 repeat,IPR015048:Domain of unknown function DUF1899,IPR015505:Coronin,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,IPR019775:WD40 repeat, conserved site,IPR024977:Anaphase-promoting complex subunit 4, WD40 domain,				SM00320:WD40,SM01166:SM01166,	Alternative splicing,Coiled coil,Complete proteome,Proteomics identification,Reference proteome,Repeat,WD repeat,	chain:Coronin-6,compositionally biased region:Poly-Gly,modified residue,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,repeat:WD 5,splice variant,
CYSLTR2	cysteinyl leukotriene receptor 2(CYSLTR2)	Homo sapiens		h_eicosanoidPathway:Eicosanoid Metabolism,		GO:0006955~immune response,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007218~neuropeptide signaling pathway,GO:0010942~positive regulation of cell death,GO:0045766~positive regulation of angiogenesis,GO:0061737~leukotriene signaling pathway,GO:0070374~positive regulation of ERK1 and ERK2 cascade,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0001631~cysteinyl leukotriene receptor activity,GO:0004974~leukotriene receptor activity,GO:0005515~protein binding,GO:0008528~G-protein coupled peptide receptor activity,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR004071:Cysteinyl leukotriene receptor,IPR013311:Cysteinyl leukotriene receptor 2,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,				Cell membrane,Complete proteome,Disulfide bond,G-protein coupled receptor,Glycoprotein,Membrane,Receptor,Reference proteome,Transducer,Transmembrane,Transmembrane helix,	chain:Cysteinyl leukotriene receptor 2,disulfide bond,glycosylation site:N-linked (GlcNAc...),topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
CYP2C9	cytochrome P450 family 2 subfamily C member 9(CYP2C9)	Homo sapiens		h_nuclearRsPathway:Nuclear Receptors in Lipid Metabolism and Toxicity,	Secondary metabolites biosynthesis, transport, and catabolism,	GO:0006805~xenobiotic metabolic process,GO:0008202~steroid metabolic process,GO:0016098~monoterpenoid metabolic process,GO:0017144~drug metabolic process,GO:0019373~epoxygenase P450 pathway,GO:0019627~urea metabolic process,GO:0032787~monocarboxylic acid metabolic process,GO:0042737~drug catabolic process,GO:0042738~exogenous drug catabolic process,GO:0043603~cellular amide metabolic process,GO:0055114~oxidation-reduction process,GO:0070989~oxidative demethylation,GO:0097267~omega-hydroxylase P450 pathway,	GO:0005789~endoplasmic reticulum membrane,GO:0031090~organelle membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0001567~cholesterol 25-hydroxylase activity,GO:0004497~monooxygenase activity,GO:0005506~iron ion binding,GO:0008144~drug binding,GO:0008392~arachidonic acid epoxygenase activity,GO:0008395~steroid hydroxylase activity,GO:0016491~oxidoreductase activity,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0018675~(S)-limonene 6-monooxygenase activity,GO:0018676~(S)-limonene 7-monooxygenase activity,GO:0019825~oxygen binding,GO:0020037~heme binding,GO:0034875~caffeine oxidase activity,GO:0052741~(R)-limonene 6-monooxygenase activity,	IPR001128:Cytochrome P450,IPR002401:Cytochrome P450, E-class, group I,IPR017972:Cytochrome P450, conserved site,	hsa00590:Arachidonic acid metabolism,hsa00591:Linoleic acid metabolism,hsa00830:Retinol metabolism,hsa00980:Metabolism of xenobiotics by cytochrome P450,hsa00982:Drug metabolism - cytochrome P450,hsa01100:Metabolic pathways,hsa04726:Serotonergic synapse,hsa05204:Chemical carcinogenesis,	122700~Warfarin sensitivity,Tolbutamide poor metabolizer~Tolbutamide poor metabolizer,			3D-structure,Alternative splicing,Complete proteome,Direct protein sequencing,Endoplasmic reticulum,Heme,Iron,Lipid metabolism,Membrane,Metal-binding,Microsome,Monooxygenase,NADP,Oxidoreductase,Polymorphism,Reference proteome,Signal,Steroid metabolism,Sterol metabolism,	chain:Cytochrome P450 2C9,helix,metal ion-binding site:Iron (heme axial ligand),sequence conflict,sequence variant,strand,turn,
CYP26C1	cytochrome P450 family 26 subfamily C member 1(CYP26C1)	Homo sapiens			Secondary metabolites biosynthesis, transport, and catabolism,	GO:0006766~vitamin metabolic process,GO:0007417~central nervous system development,GO:0009952~anterior/posterior pattern specification,GO:0014032~neural crest cell development,GO:0034653~retinoic acid catabolic process,GO:0048284~organelle fusion,GO:0048387~negative regulation of retinoic acid receptor signaling pathway,GO:0055114~oxidation-reduction process,	GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,	GO:0001972~retinoic acid binding,GO:0005506~iron ion binding,GO:0008401~retinoic acid 4-hydroxylase activity,GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,GO:0020037~heme binding,	IPR001128:Cytochrome P450,IPR002403:Cytochrome P450, E-class, group IV,IPR017972:Cytochrome P450, conserved site,	hsa00830:Retinol metabolism,hsa01100:Metabolic pathways,	614974~Focal facial dermal dysplasia 4,			Complete proteome,Ectodermal dysplasia,Heme,Iron,Membrane,Metal-binding,Monooxygenase,Oxidoreductase,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,	chain:Cytochrome P450 26C1,metal ion-binding site:Iron (heme axial ligand),sequence conflict,sequence variant,transmembrane region,
CPEB1	cytoplasmic polyadenylation element binding protein 1(CPEB1)	Homo sapiens				GO:0006397~mRNA processing,GO:0006412~translation,GO:0032869~cellular response to insulin stimulus,GO:0071230~cellular response to amino acid stimulus,GO:0071456~cellular response to hypoxia,GO:2000766~negative regulation of cytoplasmic translation,	GO:0000932~cytoplasmic mRNA processing body,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0014069~postsynaptic density,GO:0030054~cell junction,GO:0030425~dendrite,GO:0043005~neuron projection,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:1990124~messenger ribonucleoprotein complex,	GO:0000166~nucleotide binding,GO:0000900~translation repressor activity, nucleic acid binding,GO:0003676~nucleic acid binding,GO:0003730~mRNA 3'-UTR binding,GO:0008135~translation factor activity, RNA binding,GO:0035925~mRNA 3'-UTR AU-rich region binding,GO:0043022~ribosome binding,GO:0046872~metal ion binding,	IPR000504:RNA recognition motif domain,IPR012677:Nucleotide-binding, alpha-beta plait,	hsa04114:Oocyte meiosis,hsa04320:Dorso-ventral axis formation,hsa04914:Progesterone-mediated oocyte maturation,				3D-structure,Activator,Alternative splicing,Cell junction,Cell membrane,Cell projection,Complete proteome,Cytoplasm,Membrane,Metal-binding,mRNA processing,Phosphoprotein,Polymorphism,Postsynaptic cell membrane,Reference proteome,Repeat,Repressor,Ribonucleoprotein,RNA-binding,Synapse,Translation regulation,Zinc,	chain:Cytoplasmic polyadenylation element- binding protein 1,compositionally biased region:Ser-rich,domain:RRM 1,domain:RRM 2,modified residue,mutagenesis site,region of interest:Necessary for stress granule assembly and correct localization in dcp1 bodies,sequence conflict,splice variant,
